"id","user_id","matches","potential_matches","last_matched_at"
"242","866",0,534,NULL
"876","1284",1,576,"2019-06-27 19:25:29.408375"
"376","1596",0,578,NULL
"434","1663",1,533,"2019-06-27 18:10:37.983678"
"100","1085",0,577,NULL
"534","1222",0,576,NULL
"342","1330",1,576,"2019-06-27 18:54:06.394327"
"311","748",1,559,"2019-06-27 19:06:21.56351"
"176","816",0,576,NULL
"425","1281",0,560,NULL
"305","1309",0,576,NULL
"461","1141",1,576,"2019-06-27 18:22:02.860839"
"441","747",0,576,NULL
"104","1539",0,577,NULL
"795","1487",3,576,"2019-06-27 18:43:38.798682"
"770","1380",0,577,NULL
"870","1028",3,576,"2019-06-27 19:45:17.054919"
"451","932",0,560,NULL
"500","1158",0,576,NULL
"188","855",0,547,NULL
"495","1517",0,577,NULL
"341","1362",0,562,NULL
"784","1313",2,550,"2019-06-27 19:38:42.85156"
"523","1288",0,576,NULL
"350","1473",0,576,NULL
"548","698",0,576,NULL
"464","1189",0,547,NULL
"484","1036",0,559,NULL
"213","1097",0,576,NULL
"324","1434",7,561,"2019-06-27 19:24:42.802088"
"346","1227",7,544,"2019-06-27 19:25:00.437463"
"773","1144",2,547,"2019-06-27 19:15:04.075635"
"815","864",0,576,NULL
"412","1436",0,520,NULL
"293","1671",0,515,NULL
"212","1496",5,560,"2019-06-27 19:36:34.2626"
"547","1657",0,577,NULL
"374","1142",2,498,"2019-06-27 19:02:27.300798"
"482","1467",0,576,NULL
"541","1681",0,577,NULL
"181","793",0,536,NULL
"701","1689",0,561,NULL
"588","972",0,576,NULL
"488","881",0,576,NULL
"569","1098",0,488,NULL
"572","1272",0,576,NULL
"571","801",0,576,NULL
"161","1495",0,576,NULL
"147","1113",0,576,NULL
"476","1078",0,576,NULL
"755","798",26,547,"2019-06-27 19:36:17.764327"
"343","1177",0,559,NULL
"838","967",4,576,"2019-06-27 19:48:06.511966"
"537","1535",0,544,NULL
"151","1641",0,577,NULL
"681","977",7,524,"2019-06-27 19:40:03.271463"
"640","1101",0,576,NULL
"263","1354",0,564,NULL
"357","1522",0,577,NULL
"270","1494",0,516,NULL
"660","909",0,576,NULL
"149","1519",0,577,NULL
"608","937",0,576,NULL
"89","1230",0,577,NULL
"256","1422",0,577,NULL
"624","994",0,550,NULL
"233","739",0,576,NULL
"118","1039",0,577,NULL
"413","1533",0,577,NULL
"800","1449",0,576,NULL
"582","1167",0,559,NULL
"834","803",0,576,NULL
"383","1661",0,577,NULL
"125","1591",0,578,NULL
"522","1251",0,576,NULL
"671","1606",0,577,NULL
"421","764",0,576,NULL
"185","781",1,563,"2019-06-27 19:37:35.910526"
"141","1043",1,577,"2019-06-27 18:36:29.716871"
"163","1504",0,577,NULL
"830","1046",7,576,"2019-06-27 19:33:22.226406"
"290","1546",0,577,NULL
"764","1228",1,576,"2019-06-27 18:26:36.657398"
"787","1203",5,576,"2019-06-27 19:13:25.728982"
"850","825",1,576,"2019-06-27 18:35:18.548739"
"714","981",2,576,"2019-06-27 19:00:53.521171"
"136","1221",0,576,NULL
"542","1368",0,577,NULL
"138","960",0,577,NULL
"209","1231",0,577,NULL
"205","1243",0,576,NULL
"124","1466",0,577,NULL
"99","762",0,576,NULL
"792","1545",3,577,"2019-06-27 19:06:21.56351"
"573","905",1,576,"2019-06-27 19:04:53.932358"
"529","969",0,559,NULL
"273","1140",1,561,"2019-06-27 19:39:16.170412"
"480","1226",0,576,NULL
"458","925",0,576,NULL
"170","955",0,577,NULL
